Words:Count 
 : 66
 : 1
"$" : 1
"0's." : 1
"1's" : 1
"1984," : 1
"a : 1
"big : 1
"desired : 1
"float" : 1
"it's : 1
"off : 1
"spend" : 1
"talk" : 1
"the : 2
"took : 1
"worth : 1
$25 : 1
$3 : 1
$300 : 1
$5,000 : 1
$90 : 1
'666 : 1
'the : 1
(0 : 1
(0-7) : 1
(666). : 1
(allowing) : 1
(and : 2
(as : 1
(bcd) : 1
(catastrophe), : 1
(for : 1
(however, : 1
(mark) : 1
(they : 1
* : 4
** : 4
, : 1
- : 10
---------- : 1
----------------- : 1
. : 2
0 : 1
0's. : 1
0, : 1
0-910311-57-9 : 1
0. : 1
0000 : 1
0001 : 1
0010 : 1
0011 : 1
0011, : 1
0100 : 1
0101 : 2
0110 : 2
0110,0110,0110 : 1
0110. : 2
0111 : 1
0111, : 1
1 : 3
1's : 1
1). : 1
1, : 1
1,375. : 1
1,900 : 1
1. : 1
10 : 1
10-day : 1
1000 : 1
1001 : 1
1001, : 1
10; : 1
110. : 1
13 : 1
15 : 1
15th. : 1
18 : 1
18-digit : 1
18. : 1
1979 : 1
1983. : 1
1984, : 1
1986 : 1
1989-1990 : 1
1990, : 2
2 : 1
2, : 1
2. : 1
20 : 2
23 : 1
3 : 2
3, : 1
3-digit : 1
3. : 1
3.2 : 1
35 : 1
4 : 1
4, : 1
451. : 1
5 : 2
5, : 1
6 : 2
6, : 1
6,400 : 1
6-60-6 : 1
60 : 1
666 : 5
666. : 3
7 : 1
7, : 1
7.) : 1
8 : 2
8, : 1
9 : 1
9-digit : 1
9. : 2
? : 1
a : 84
able : 5
abound : 1
about : 7
accept : 1
accepted : 1
accepted. : 1
access : 2
accessed : 1
accomplish, : 1
according : 1
account : 1
account. : 4
accounts : 2
acquire, : 1
actions : 1
actions, : 1
actually, : 1
add : 1
additional : 1
admit : 1
advanced : 4
advances : 1
advertised : 1
advertising : 1
advertising, : 1
af : 1
affect : 1
affected : 1
affectionately : 1
affiliations. : 1
age : 1
ago, : 1
agreed : 2
agriculture : 1
aid : 1
aid, : 1
all : 16
all. : 1
allegiance : 2
allows : 2
almost : 1
already : 1
also : 13
also, : 1
although : 1
always : 1
america : 3
america. : 1
american's : 1
amount : 4
an : 7
and : 93
and, : 1
announced : 2
annually : 1
answered, : 1
antichrist : 1
antichrist. : 1
anticipate : 1
antitrust, : 1
any : 2
anyone : 1
anything : 2
applications : 1
approval : 1
approval, : 1
approving : 1
april : 1
arco : 1
are : 27
are, : 1
area : 2
areas : 1
army. : 1
around : 1
as : 31
asked : 1
assume : 1
at : 7
attached : 1
attempt : 1
attention : 1
automated : 1
automatic : 2
automatically : 4
automation : 4
available : 1
average : 1
aware, : 1
away, : 1
back : 1
background, : 1
backwards : 1
bad : 2
balance" : 1
bank : 9
bank, : 1
banking, : 2
bankruptcy : 1
banks : 10
bar : 3
barren : 1
base : 1
based : 2
bcd : 2
be : 34
beast : 4
beast. : 2
beast." : 1
because : 7
become : 4
been : 4
beep : 1
before : 2
begin : 1
